CODIGO,NOMBRE,MODALIDAD,PUNTAJE,MERITO,ESCUELA_OPCION1,ESCUELA_OPCION2,ESCUELA_FINAL,OBSERVACION,OPCION_DE_INGRESO,ANIO,SEMESTRE,TARGET
862509,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),576.375,,,,,,,2024,1,0
893199,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),382.375,,,,,,,2024,1,0
893029,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),964.875,,,,,,,2024,1,0
852546,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),860.375,,,,,,,2024,1,0
857786,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),500.125,,,,,,,2024,1,0
881116,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),620.375,,,,,,,2024,1,0
853113,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),542.375,,,,,,,2024,1,0
864919,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),526.875,,,,,,,2024,1,0
848589,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),437.875,,,,,,,2024,1,0
847854,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),726.25,,,,,,,2024,1,0
870500,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),478.125,,,,,,,2024,1,0
892136,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),437.875,,,,,,,2024,1,0
876339,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),690.25,,,,,,,2024,1,0
877163,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),1110.75,,,,,ALCANZO VACANTE SEGUNDA OPCIÓN,2.0,2024,1,1
896449,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),658.125,,,,,,,2024,1,0
889257,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),651.375,,,,,,,2024,1,0
887799,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),593.875,,,,,,,2024,1,0
862698,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),879.5,,,,,,,2024,1,0
852379,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),279.75,,,,,,,2024,1,0
879722,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),1274.125,,,,,ALCANZO VACANTE SEGUNDA OPCIÓN,2.0,2024,1,1
863952,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),1218.375,,,,,,,2024,1,0
863307,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),803.75,,,,,,,2024,1,0
861267,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),901.5,,,,,,,2024,1,0
871797,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),798.125,,,,,,,2024,1,0
847804,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),795.25,,,,,,,2024,1,0
881386,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),717.0,,,,,,,2024,1,0
846208,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),451.375,,,,,,,2024,1,0
899561,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),947.125,,,,,,,2024,1,0
871036,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),1176.125,,,,,,,2024,1,0
889968,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),691.875,,,,,,,2024,1,0
892522,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),706.0,,,,,,,2024,1,0
846915,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),907.125,,,,,,,2024,1,0
880582,,EDUCACIÓN BÁSICA REGULAR (EBR) Y EDUCACIÓN BÁSICA ALTERNATIVA (EBA),707.375,,,,,,,2024,1,0
